* This file has been written by cri2GenChem.py on 25/07/2016 11:19:49
* Its inputfile is
* MCM3.3/mcm_subset.fac
* ----------------------------------------------------------------------
* GenIn.species:  List of species.,,,,,,,
* Give in order desired for twostep scheme, start with short-lived, then move to slower species.,,,,,,,
* 2nd column (integer) = 1 for advected species, otherwise 0,,,,,,,
* 3rd column gives chemical forumala - used for mass-balance,,,,,,,
*Extinc is extinction coefficient for AOD calculations,,,,,,,
*DRY give CDDEP species (My_DryDep_ml) most appropriate for this species,,,,,,,
*,,,,,,,
* *** Important Notes ***:,,,,,,,
*  1. Use case correctly in 3rd column - secC4H9O2, *not* SECC4H9O2 which would be assigned 5, not 4 carbon atoms.,,,,,,,
*  2. GenChem uses the 3rd column to calculate masses. If these masses are important use the correct chemical formula!,,,,,,,
*  (masses not usually needed except for emissions input and if output in ug/m3 or similar wanted).,,,,,,,
* Masses assigned in 4th column overwrite any calculated from 3rd,,,,,,,
*  3. (HI): the new GenChem.py (for ESX) reads factors or mapbacks like Cstar or Extinc,,,,,,,
*           from the Groups column. If you want to set e.g. Cstar=3.5, write in the Groups,,,,,,
*           column: ;Cstar:3.5;,,,,,,,
*************************************************************,,,,,,,
*#GROUPED_STYLE - fewer columns than Garry's new-style files,,,,,,,
* HI removed more columns (empty ones and those that are being read through Groups column now),,,,,,,
Spec,adv,formula,MW,DRY,WET,Groups,!Comments
*========================================,,,,,,,
*=== this is the comments at the beginning of the CRI file ===
*========================================
********************************************************************* ;
* A citation to the MCM website and the relevant mechanism  * ;
* construction protocols should be given in any publication using * ;
* information obtained from this source, using the following or  * ;
* comparable wording:         * ;
* The chemical mechanistic information was taken from the Master * ;
* Chemical Mechanism, MCM v3.3.1 (ref), via website:   * ;
* http://mcm.leeds.ac.uk/MCM.       * ;
* The reference should be: (Jenkin et al., Atmos. Environ., 31, 81, * ;
* 1997; Saunders et al., Atmos. Chem. Phys., 3, 161, 2003), for  * ;
* non aromatic schemes; (Jenkin et al., Atmos. Chem. Phys., 3, * ;
* 181, 2003; Bloss et al., Atmos. Chem. Phys., 5, 641, 2005), for * ;
* aromatic schemes; (Jenkin et al., Atmos. Chem. Phys., 12, * ;
* 5275, 2012), for the beta-caryophyllene scheme and (Jenkin et al., ;
* Atmos. Chem. Phys., 15, 11433, 2015), for the isoprene scheme. * ;
********************************************************************* ;
* MCMv3.3.1 Subset generated for the following species: ;
* CH3OH C2H5OH NPROPOL IPROPOL NBUTOL BUT2OL IBUTOL TBUTOL PECOH ;
* IPEAOH ME3BUOL IPECOH IPEBOH CYHEXOL MIBKAOH ETHGLY PROPGLY MBO ;
* HCHO CH3CHO C2H5CHO C3H7CHO IPRCHO C4H9CHO ACR MACR C4ALDB CH4 ;
* C2H6 C3H8 NC4H10 IC4H10 NC5H12 IC5H12 NEOP NC6H14 M2PE M3PE M22C4 ;
* M23C4 NC7H16 M2HEX M3HEX NC8H18 NC9H20 NC10H22 NC11H24 NC12H26 ;
* CHEX C2H4 C3H6 BUT1ENE CBUT2ENE TBUT2ENE MEPROPENE PENT1ENE ;
* CPENT2ENE TPENT2ENE ME2BUT1ENE ME3BUT1ENE ME2BUT2ENE HEX1ENE ;
* CHEX2ENE THEX2ENE DM23BU2ENE C2H2 BENZENE TOLUENE OXYL MXYL PXYL ;
* EBENZ PBENZ IPBENZ TM123B TM124B TM135B OETHTOL METHTOL PETHTOL ;
* DIME35EB DIET35TOL STYRENE BENZAL CH3CL CH2CL2 CHCL3 CH3CCL3 TCE ;
* TRICLETH CDICLETH TDICLETH CH2CLCH2CL CCL2CH2 CL12PROP CHCL2CH3 ;
* CH3CH2CL CHCL2CHCL2 CH2CLCHCL2 VINCL C4H6 C5H8 CH3OCHO METHACET ;
* ETHACET NPROACET IPROACET NBUTACET SBUTACET TBUACET CH3OCH3 ;
* DIETETHER MTBE DIIPRETHER ETBE MO2EOL EOX2EOL PR2OHMOX BUOX2ETOH ;
* BOX2PROL CH3BR DIBRET CH3COCH3 MEK MPRK DIEK MIPK HEX2ONE HEX3ONE ;
* MIBK MTBK CYHEXONE APINENE BPINENE LIMONENE BCARY HCOOH CH3CO2H ;
* PROPACID DMM DMC DMS ETHOX ;
* ;
* Variable definitions. All species are listed here. ;
* ;
*========================================
*=== this is the comments from the peroxy section of the CRI file ===
*========================================
* WARNING: The following species do not have SMILES strings in the database. ;
****************************************************** ;
* 2017-03-20 Added Dry and Wetdep for a few species only, to get ESX working;
* ;
Spec,adv,formula,MW,DRY,WET,Groups,!Comments
*
RO2POOL,1,RO2POOL,xx,xx,xx,xx,! 
CH2O2CO3H,1,CH2O2CO3H,xx,xx,xx,RO2,!
C918NO3,1,C9H13NO5,215.2032,xx,xx,xx,! 
C134CO,1,C13H18O6,270.2784,xx,xx,xx,! 
NBUTACET,1,C6H12O2,116.1583,xx,xx,xx,! 
C124O2,1,C12H21O4,229.2927,xx,xx,RO2,! 
PROL1MPAN,1,C5H9NO6,179.1281,xx,xx,PAN,! 
BCCOOH,1,C15H26O3,254.3651,xx,xx,xx,! 
IPRHOCO2H,1,C4H8O3,104.1045,xx,xx,xx,! 
TM124NO2O,1,C8H10NO7,232.1675,xx,xx,xx,! 
C3EODBCO2H,1,C6H8O3,128.1259,xx,xx,xx,! 
DMEBPOXMUC,1,C10H14O3,182.2164,xx,xx,xx,! 
DNMXYOLOOH,1,C8H10N2O10,294.1724,xx,xx,xx,! 
C4ME2OHNO3,1,C6H13NO4,163.1717,xx,xx,xx,! 
C920CO3,1,C10H15O5,215.2231,xx,xx,RO2,! 
MIPKAO,1,C5H9O2,101.1238,xx,xx,xx,! 
BUT2OLAO,1,C4H9O2,89.1131,xx,xx,xx,! 
C823CO,1,C8H12O3,156.1791,xx,xx,xx,! 
M3BU2OLOOH,1,C5H12O3,120.1470,xx,xx,xx,! 
METLBIPRO2,1,C9H13O5,201.1965,xx,xx,RO2,! 
PXYCATECH,1,C8H10O2,138.1638,xx,xx,xx,! 
M3HEXBNO3,1,C7H15NO3,161.1989,xx,xx,xx,! 
C124OH,1,C12H22O3,214.3013,xx,xx,xx,! 
PRCOOMCHO,1,C6H10O3,130.1418,xx,xx,xx,! 
PTLQONE,1,C7H6O2,122.1213,xx,xx,xx,! 
TM123MUCO,1,C9H13O5,201.1965,xx,xx,xx,! 
C137CO,1,C13H20O3,224.2961,xx,xx,xx,! 
NO2,1,NO2,xx,NO2,xx,NOX;OX,OXN;daObs,! DSDEP 
NO3,1,NO3,xx,xx,xx,xx,! 
MBOAOOH,1,C5H12O4,136.1464,xx,xx,xx,! 
C4M2NO33O,1,C5H10NO4,148.1372,xx,xx,xx,! 
EPXDLCO2H,1,C4H4O4,116.0722,xx,xx,xx,! 
BOXCOCOMO,1,C7H11O4,159.1598,xx,xx,xx,! 
ME3BU2OLO,1,C5H11O2,103.1396,xx,xx,xx,! 
CLOHCO3H,1,C2H3ClO4,126.4958,xx,xx,xx,! 
BOXCOCOME,1,C7H12O3,144.1684,xx,xx,xx,! 
MALDIAL,1,C4H4O2,84.0734,xx,xx,xx,! 
C6PAN21,1,C6H11NO6,193.1546,xx,xx,PAN,! 
DEMPHOLOOH,1,C11H18O6,246.2570,xx,xx,xx,! 
C6PAN23,1,C6H11NO6,193.1546,xx,xx,PAN,! 
C6PAN22,1,C6H11NO6,193.1546,xx,xx,PAN,! 
HO13C5O2,1,C5H11O4,135.1384,xx,xx,RO2,! 
EBZMUCOOH,1,C8H12O6,204.1773,xx,xx,xx,! 
NMETOL1O2,1,C9H10NO4,196.1800,xx,xx,RO2,! 
DMKOHOOH,1,C6H10O5,162.1406,xx,xx,xx,! 
C9M2CO6O2,1,C10H15O4,199.2237,xx,xx,RO2,! 
IPBZBPR2OH,1,C9H14O4,186.2051,xx,xx,xx,! 
MPRK,1,C5H10O,86.1323,xx,xx,xx,! 
NOA,1,C3H5NO4,119.0761,xx,xx,xx,! 
BIACETOOH,1,C4H6O4,118.0880,xx,xx,xx,! 
HEPTOH,1,C7H16O,116.2013,xx,xx,xx,! 
C6CO4MEDB,1,C9H10O4,182.1733,xx,xx,xx,! 
ACBUONEAO,1,C6H9O4,145.1333,xx,xx,xx,! 
PEBQONE,1,C8H8O2,136.1479,xx,xx,xx,! 
C42OH,1,C4H7NO6,165.1015,xx,xx,xx,! 
OD,1,OD,xx,xx,xx,xx,! 
C63NO3,1,C6H11NO5,177.1552,xx,xx,xx,! 
TBOCOCH2O,1,C6H11O3,131.1497,xx,xx,xx,! 
NPETOLO2,1,C9H12NO8,262.1935,xx,xx,RO2,! 
NPTLQO,1,C7H6NO6,200.1256,xx,xx,xx,! 
C514OH,1,C5H8O3,116.1152,xx,xx,xx,! 
C620O2,1,C6H7O5,159.1168,xx,xx,RO2,! 
ACETC2CO2H,1,C5H8O4,132.1146,xx,xx,xx,! 
C917NO3,1,C9H13NO5,215.2032,xx,xx,xx,! 
METHACETO2,1,C3H5O4,105.0694,xx,xx,RO2,! 
C44O,1,C4H5O4,117.0801,xx,xx,xx,! 
C620OH,1,C6H8O4,144.1253,xx,xx,xx,! 
C711O2,1,C7H13O4,161.1757,xx,xx,RO2,! 
CNO3OCL,1,C2H2ClNO4,139.4946,xx,xx,xx,! 
NEBNZOLOOH,1,C8H11NO8,249.1748,xx,xx,xx,! 
